,snip,latitud,longitud
680,118612,14.765919,-90.59437
681,56685,14.765919,-90.59437
682,171328,14.765919,-90.59437
683,242454,14.765919,-90.59437
684,171315,14.765919,-90.59437
685,264745,14.765919,-90.59437
686,294826,14.765919,-90.59437
687,43814,14.765919,-90.59437
688,154164,14.765919,-90.59437
689,118648,14.765919,-90.59437
690,44097,14.765919,-90.59437
691,332232,14.765919,-90.59437
692,336878,14.765919,-90.59437
693,339486,14.765919,-90.59437
694,41636,14.765919,-90.59437
695,340987,14.765919,-90.59437
696,56627,14.765919,-90.59437
697,56560,14.765919,-90.59437
698,259085,14.765919,-90.59437
699,74106,14.765919,-90.59437
700,118613,14.765919,-90.59437
701,56552,14.765919,-90.59437
702,295767,14.765919,-90.59437
703,339498,14.765919,-90.59437
704,52921,14.765919,-90.59437
705,171324,14.765919,-90.59437
706,118646,14.765919,-90.59437
707,242428,14.765919,-90.59437
708,280742,14.765919,-90.59437
709,33992,14.765919,-90.59437
710,280852,14.765919,-90.59437
711,332252,14.765919,-90.59437
712,332210,14.765919,-90.59437
713,352909,14.765919,-90.59437
714,356036,14.765919,-90.59437
715,41515,14.765919,-90.59437
716,154212,14.765919,-90.59437
717,318325,14.765919,-90.59437
718,118649,14.765919,-90.59437
719,242427,14.765919,-90.59437
720,56695,14.765919,-90.59437
721,242456,14.765919,-90.59437
722,154225,14.765919,-90.59437
723,242458,14.765919,-90.59437
724,171331,14.765919,-90.59437
725,339508,14.765919,-90.59437
726,171323,14.765919,-90.59437
727,332231,14.765919,-90.59437
728,154227,14.765919,-90.59437
729,352908,14.765919,-90.59437
730,171330,14.765919,-90.59437
731,352911,14.765919,-90.59437
732,41940,14.765919,-90.59437
733,154210,14.765919,-90.59437
734,119252,14.765919,-90.59437
735,171322,14.765919,-90.59437
736,43193,14.765919,-90.59437
737,33755,14.765919,-90.59437
738,356039,14.765919,-90.59437
739,65021,14.765919,-90.59437
740,154217,14.765919,-90.59437
741,172271,14.765919,-90.59437
742,44088,14.765919,-90.59437
743,283388,14.765919,-90.59437
744,332214,14.765919,-90.59437
745,154228,14.765919,-90.59437
746,41707,14.765919,-90.59437
747,339479,14.765919,-90.59437
748,154208,14.765919,-90.59437
749,295769,14.765919,-90.59437
750,299930,14.765919,-90.59437
751,33900,14.765919,-90.59437
752,154213,14.765919,-90.59437
753,332206,14.765919,-90.59437
754,295785,14.765919,-90.59437
755,44691,14.765919,-90.59437
756,41645,14.765919,-90.59437
757,56544,14.765919,-90.59437
758,171329,14.765919,-90.59437
759,56567,14.765919,-90.59437
760,295772,14.765919,-90.59437
761,242437,14.765919,-90.59437
762,95181,14.765919,-90.59437
763,356031,14.765919,-90.59437
764,242433,14.765919,-90.59437
765,264538,14.765919,-90.59437
766,33970,14.765919,-90.59437
767,171326,14.765919,-90.59437
768,279640,14.765919,-90.59437
769,242452,14.765919,-90.59437
770,34031,14.765919,-90.59437
771,332249,14.765919,-90.59437
772,335264,14.765919,-90.59437
773,118753,14.765919,-90.59437
